class,status
[],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
"['no hard hat', 'hard hat']",No detection
"['no hard hat', 'hard hat', 'hard hat']",No detection
"['no hard hat', 'hard hat']",No detection
"['no hard hat', 'hard hat']",No detection
"['no hard hat', 'hard hat']",No detection
"['no hard hat', 'hard hat']",No detection
"['hard hat', 'no hard hat', 'hard hat']",No detection
"['hard hat', 'no hard hat']",No detection
"['no hard hat', 'hard hat']",No detection
"['hard hat', 'no hard hat']",No detection
"['no hard hat', 'hard hat']",No detection
"['hard hat', 'no hard hat']",No detection
"['no hard hat', 'hard hat']",No detection
"['no hard hat', 'hard hat']",No detection
"['hard hat', 'no hard hat']",No detection
"['no hard hat', 'hard hat']",No detection
"['no hard hat', 'hard hat']",No detection
"['hard hat', 'no hard hat']",No detection
"['hard hat', 'hard hat']",No detection
"['no hard hat', 'no hi-vis vest', 'hard hat']",Semi Safe
"['no hard hat', 'no hi-vis vest', 'hard hat']",Semi Safe
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
"['no hard hat', 'hard hat', 'hard hat']",No detection
['no hard hat'],No detection
"['no hard hat', 'hard hat', 'hard hat']",No detection
"['no hard hat', 'hard hat', 'hard hat']",No detection
"['no hard hat', 'hard hat', 'hard hat']",No detection
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest', 'hard hat']",Semi Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest', 'hard hat']",Semi Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest', 'hard hat']",Semi Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest', 'hard hat']",Semi Safe
"['no hard hat', 'no hi-vis vest', 'hard hat']",Semi Safe
"['no hard hat', 'no hi-vis vest', 'hard hat']",Semi Safe
"['no hard hat', 'no hi-vis vest', 'hard hat']",Semi Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest', 'hard hat']",Semi Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest', 'hard hat']",Semi Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'no hi-vis vest', 'hard hat']",Semi Safe
"['no hard hat', 'no hi-vis vest']",Not Safe
"['no hard hat', 'hi-vis vest']",Semi Safe
"['no hard hat', 'hard hat']",No detection
['no hard hat'],No detection
"['no hard hat', 'hard hat']",No detection
"['no hard hat', 'hard hat']",No detection
['no hard hat'],No detection
"['no hard hat', 'hard hat']",No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
"['no hard hat', 'hard hat', 'hi-vis vest']",Very Safe
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
"['no hard hat', 'hard hat']",No detection
['no hard hat'],No detection
['no hard hat'],No detection
"['no hard hat', 'hi-vis vest']",Semi Safe
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
"['no hard hat', 'hi-vis vest']",Semi Safe
['no hard hat'],No detection
['no hard hat'],No detection
['no hard hat'],No detection
